label,text
work-ce48c33a-2ad8-47a1-b1ff-ce42f75fc3b0,"Kappaleet, piano, op4"
work-2283fb34-a89c-4715-8089-f156f6e1b762,Aallon kehtolaulu
work-cb437cb0-6fb0-4d44-8452-751acdc04b28,Åbo slott
work-eca94473-699f-46f8-87fe-9cc5d9bf5513,Ajan aallot
work-eca94473-699f-46f8-87fe-9cc5d9bf5513,Rajamailla
work-66128cc9-07ad-4509-b9c0-5bab19828b2e,Am stillen Dorfe erhebt sich
work-50827b4b-4726-4f94-8d3b-0ea8272eaff4,"Andante, jousiorkesteri"
work-50827b4b-4726-4f94-8d3b-0ea8272eaff4,"Andante, jousiork."
work-3b097923-dfef-4885-8458-7ec2c12fa2e4,Andre beten zur Madonna
work-8d138f62-875e-43aa-82ff-472616d66963,Anni
work-db4c0908-4ce5-4670-9238-029e69dfea0b,Armahan kulku
work-62aa78b8-4c09-4adc-aa00-ea12237c4956,Armasta odottaessa
work-35b1e712-39c0-4292-8d5e-fba3747f9f1b,"Berceuset, orkesteri"
work-35b1e712-39c0-4292-8d5e-fba3747f9f1b,"Berceuset, kamariork."
work-abc3e808-ab46-4c01-b318-d00578b1f514,Betlehems stjärna
work-c0bb6f15-7f01-4878-9c61-0b00c0d72e99,Bröllopsmarsch
work-c0bb6f15-7f01-4878-9c61-0b00c0d72e99,Häämarssi
work-c0bb6f15-7f01-4878-9c61-0b00c0d72e99,Hääsoitto
work-f8ae42f7-35a0-4dc8-a632-c441d9858f64,Carmen
work-3bce4f40-e064-48bf-99a6-5d7362825c47,Carmen Careliense
work-3bce4f40-e064-48bf-99a6-5d7362825c47,Joensuu-kantaatti
work-1004bc8f-55b5-430b-b8bb-6ff127610a95,En dockvisa
work-64762ab1-6d32-4d43-a39b-e7b777412a93,Die Drei
work-6b531302-e3b1-459f-bbb6-2198e4701392,En drömmares sång till livet
work-4996fd7a-676e-4fa1-adbb-9cf90fe164fd,Du
work-26522932-6cc7-4a19-b98e-90bb198598b5,"Du är sol, du är vår"
work-49002e67-8524-47b3-b88d-633aa6d75754,Die Du bist so schön und rein
work-884f057f-2b36-411b-b52c-50d46969803f,Du hast Diamanten und Perlen
work-e356c364-f35b-4db5-82cf-ca2d56ad6e40,Dvärgens hämd
work-be5cac31-1afa-4862-81b3-be1a05eb3772,Einsam schreitend wandl' ich
work-fe639e91-7923-4202-8197-b215075b7c9b,Elämän laulu
work-4e9ca920-d421-4308-bac9-69cc52f27178,Fågeln
work-af2aeb42-2369-48e3-bc85-a1007e702e6c,Fåglarna
work-d1d8ec6b-d0e1-481c-92be-b0b8088430b5,Farväl
work-f0ddd7e7-f4b2-48df-89b1-9aa7a3f05079,Den flydda
work-1cbce381-248f-42f4-ac70-304f082b52b3,Den flygande holländaren
work-803ba36f-dec9-4d92-a09e-9657e2a9e322,Gute Ruhe
work-307d996a-9433-48b8-a96e-220097cbf227,"Heimathklang, lauluääni, piano"
work-307d996a-9433-48b8-a96e-220097cbf227,Heimathklang
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,"Heimathklang, orkesteri"
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,Kotimaan kaikuja
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,Kotimaan sävel
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,Kotiseudun kaikuja
work-90704812-9c60-4167-b713-cc3cb6937594,Hör ich das Liedchen klingen
work-4ba9b2bd-6e04-440a-b848-d8eabfe72e79,Hyljätyn valitus
work-1926a32a-8a53-455c-a272-f6c19209dfb7,I solnedgången
work-29163230-13ab-4860-8738-f819fe09b32f,Ich stand in dunkeln Träumen
work-e1dd9b1d-f783-4834-8c4a-18e045956ba9,Ich wollte meine Lieder
work-9ea0f8ad-ed87-43fd-bf23-f678a0b52b3a,Im Vaters Garten heimlich steht
work-5a3683be-993b-4fde-a7f2-b482edef671d,Isänmaan kasvot (kantaatti)
work-5a3683be-993b-4fde-a7f2-b482edef671d,"Isänmaan kasvot, kantaatti"
work-d684f311-c898-42c4-a8f6-99c3fb372458,Isänmaan kasvot (laulu)
work-d684f311-c898-42c4-a8f6-99c3fb372458,Isänmaan kasvot
work-ef6b6479-84a4-44b1-9e5e-d392058ba559,Jes siunatkoon
work-fa03a651-16cf-41f4-9642-5bfafab026d5,Juhla-alkusoitto
work-a1294b4d-f9f3-42a6-b734-43fc5cf472b9,Juhlakaikuja
work-0566820c-7258-4aa0-ad5b-de712083a802,Kaiholle
work-8d2403f6-ce61-4daa-9399-9b8a94cd6968,Kallan kuoron lippulaulu
work-9159dcf6-78dd-4791-a5bf-0a1a06257a2f,Kallan ranta
work-9159dcf6-78dd-4791-a5bf-0a1a06257a2f,Kallanranta-kantaatti
